Issue Type,Issue ID,Parent ID,Summary,Description,Labels,Labels,Labels,Story Points,Priority
Story,1,,"Rahbar AI — Offline-first Edge-AI Teaching Assistant (Class 6 General Science MVP)","Offline-first Android app: an on-device small language model generates curriculum-grounded lesson plans and 10-question MCQ tests, and grades MCQ answer sheets by camera — with no internet. MVP scope: General Science, Class 6 (PCTB textbook). Stack: Flutter (Android), on-device SLM via flutter_gemma/LiteRT, on-device RAG over the curriculum, OpenCV OMR, local SQLite.",rahbar-ai,edge-ai,mvp,69,High
Sub-task,2,1,"Set up Flutter (Android) project + dev toolchain + budget-device emulator","Install Flutter/Android SDK, scaffold the app, and configure an emulator profile approximating a 2–4 GB RAM budget phone.",m1-foundation,flutter,,3,High
Sub-task,3,1,"Integrate on-device inference engine (flutter_gemma / LiteRT)","Wire the on-device inference plugin, load a quantized model, and stream generated tokens inside the app.",m1-foundation,on-device-ml,,5,High
Sub-task,4,1,"Model spike & selection","Benchmark candidate SLMs (Gemma 3n E2B / Qwen / Llama 3.2) for peak RAM, latency, and output quality on target hardware; select one.",m1-foundation,on-device-ml,,5,High
Sub-task,5,1,"Curriculum OCR + layout parse of Class 6 textbook","Run layout-aware OCR (Docling + Tesseract) over the scanned textbook; handle the watermark and separate figures from text.",m1-foundation,rag,,5,High
Sub-task,6,1,"Section/SLO-aligned chunking + block typing","Segment the parsed text into topic chunks with metadata (chapter, section, page, block type: content/activity/key-points/exercise).",m1-foundation,rag,,3,Medium
Sub-task,7,1,"Embed chunks + build bundled vector DB","Embed chunks with a compact English model and build a small on-device vector store shipped as an app asset.",m1-foundation,rag,,3,Medium
Sub-task,8,1,"On-device retrieval wiring","Embed the query, run vector similarity search, and return top-k curriculum chunks (metadata-aware: prefer content over exercises).",m2-generation,rag,,3,High
Sub-task,9,1,"Grounded prompt templates","Anti-hallucination prompting with structured (JSON) output; answer only from provided excerpts and flag when unknown.",m2-generation,on-device-ml,,3,High
Sub-task,10,1,"Lesson-plan generation (5E schema)","Generate a full 50-minute lesson plan: Bloom-tagged objectives, revision starter, Socratic questions, low-cost activity, delivery, exit ticket; suggest splitting if too long.",m2-generation,on-device-ml,,5,High
Sub-task,11,1,"MCQ test generation","Generate 10 mixed-difficulty questions (one correct + plausible distractors), an answer key, and a unique test ID.",m2-generation,on-device-ml,,3,High
Sub-task,12,1,"PDF export","Produce print-ready lesson plan, student MCQ paper, OMR answer sheet (fiducial markers + QR test ID), and teacher answer key.",m2-generation,flutter,,5,Medium
Sub-task,13,1,"RAG quality eval harness","Evaluate groundedness, curriculum-fit, MCQ validity, and retrieval hit-rate on a golden set of queries.",m2-generation,rag,,3,Medium
Sub-task,14,1,"OMR camera grading (no SLM)","Capture with align guide, fiducial perspective-warp, decode test ID, look up the answer key, score, and flag low-confidence marks — without invoking the SLM.",m3-demo,computer-vision,,8,High
Sub-task,15,1,"Core UI (Material 3)","Topic/SLO picker → generating state → sectioned, editable lesson plan → MCQ view → saved library.",m3-demo,ux,,5,High
Sub-task,16,1,"Offline persistence (local SQLite)","Store generated plans, tests, answer keys, grading results, and settings locally.",m3-demo,flutter,,3,Medium
Sub-task,17,1,"On-device performance tuning","Profile and tune memory/latency; ensure graceful low-RAM behavior and an instant-feel generation experience.",m3-demo,on-device-ml,,3,Medium
Sub-task,18,1,"Blind quality review + fixes","Teacher-style review of generated plans/MCQs for correctness, curriculum fit, and difficulty; fix issues found.",m3-demo,docs,,2,Medium
Sub-task,19,1,"Demo prep + documentation","Prepare the demo script, seed content, README/architecture write-up, and a walkthrough.",m3-demo,docs,,2,Medium
